,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:34:85,0.5748749,-0.4351349,12.723053,-0.8504486,-0.292511,-0.45115662,26.849365,-22.799683,-251.10016
11:05:34:86,0.06970215,-0.51174927,13.450882,-0.8451233,-0.26268005,-0.46925354,,,
11:05:34:87,-0.45224,-0.5644226,13.886627,-0.75990295,-0.20622253,-0.42878723,27.900696,-23.10028,-250.19989
11:05:34:88,-0.85206604,-0.7320099,14.099716,-0.61183167,-0.16255188,-0.32652283,,,
11:05:34:89,-0.7395325,-1.016922,13.9153595,-0.39772034,-0.07093811,-0.18270874,25.050354,-22.050476,-251.40076
11:05:34:90,-0.37322998,-1.2515564,13.319199,-0.16015625,0.04624939,-0.031433105,,,
11:05:34:91,0.18701172,-1.1462097,12.627274,0.06567383,0.13891602,0.0942688,26.400757,-23.10028,-252.00043
11:05:34:92,0.8526001,-0.9067993,11.712692,0.2638092,0.20283508,0.18267822,,,
11:05:34:93,1.3769379,-0.7272339,10.778961,0.40655518,0.2358551,0.21144104,25.349426,-22.050476,-251.10016
11:05:34:94,1.7001495,-0.5572357,9.854797,0.4864502,0.20497131,0.19120789,,,
11:05:34:95,1.9707031,-0.42077637,9.167664,0.5098877,0.15383911,0.13687134,25.19989,-22.349548,-249.74976
11:05:34:96,2.1334991,-0.42555237,8.549957,0.48538208,0.10803223,0.048461914,,,
11:05:34:97,2.0999908,-0.5332947,8.133362,0.4310608,0.09098816,-0.05807495,25.19989,-23.849487,-251.2497
11:05:34:98,1.8366241,-0.59555054,7.7885895,0.35009766,0.080337524,-0.1560669,,,
11:05:34:99,1.551712,-0.64582825,7.640152,0.2584839,0.070739746,-0.21998596,26.400757,-23.849487,-251.5503
11:05:35:00,1.3506012,-0.6985016,7.580307,0.18711853,0.05583191,-0.25300598,,,
11:05:35:01,1.2835693,-0.74638367,7.5467834,0.13598633,0.04411316,-0.26579285,23.550415,-23.550415,-252.6001
11:05:35:02,1.2979279,-0.67933655,7.5060883,0.104019165,0.030258179,-0.2828369,,,
11:05:35:03,1.230896,-0.49499512,7.4510193,0.07206726,-0.0027618408,-0.3201294,25.349426,-23.550415,-252.14996
11:05:35:04,1.1040039,-0.36091614,7.4270782,0.035842896,-0.030456543,-0.35954285,,,
11:05:35:05,0.83584595,-0.23162842,7.4127045,-0.009963989,-0.038986206,-0.39788818,23.849487,-24.00055,-252.9007
11:05:35:06,0.5748749,-0.26036072,7.465378,-0.055770874,-0.03152466,-0.42132568,,,
11:05:35:07,0.34024048,-0.27471924,7.477356,-0.093048096,0.0025634766,-0.4223938,25.19989,-24.150085,-252.74963
11:05:35:08,0.10800171,-0.25556946,7.7167664,-0.102645874,0.02281189,-0.41067505,,,
11:05:35:09,-0.04283142,-0.13825989,7.8508453,-0.062164307,0.035583496,-0.3787079,25.950623,-25.19989,-252.00043
11:05:35:10,-0.19126892,0.012573242,7.858032,0.007080078,0.047302246,-0.33078003,,,
11:05:35:11,-0.17689514,0.05088806,7.6616974,0.08911133,0.02067566,-0.27644348,24.60022,-24.749756,-252.9007
11:05:35:12,-0.04043579,0.14186096,7.4055176,0.14770508,-0.028320312,-0.22319031,,,
11:05:35:13,0.22293091,0.36453247,6.790207,0.16474915,-0.069869995,-0.18803406,25.050354,-24.299622,-252.14996
11:05:35:14,0.33067322,0.4507141,6.6609344,0.1253357,-0.08052063,-0.17417908,,,
11:05:35:15,0.4982605,0.6901398,6.5029144,0.02519226,-0.08584595,-0.18270874,24.60022,-24.749756,-252.9007
11:05:35:16,0.5485382,0.9415283,6.5914917,-0.118621826,-0.107162476,-0.21253967,,,
11:05:35:17,0.5293884,1.070816,6.9865417,-0.26242065,-0.12953186,-0.24555969,25.19989,-24.450684,-253.05023
11:05:35:18,0.52220154,1.1450348,7.707199,-0.38067627,-0.16894531,-0.2785797,,,
