,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total
11:06:20:17,-0.2511139,0.40283203,8.856415,0.027328491,0.103759766,0.041000366,63.00049,-36.749268,-259.3506,8.869127267515792,0.1148649880200481,269.4110319922625
11:06:20:18,-0.10986328,0.48184204,8.992874,0.015609741,0.05583191,0.03781128,63.00049,-36.749268,-259.3506,9.006443497390062,0.06921386482182296,269.4110319922625
11:06:20:19,0.08406067,0.6326752,9.522003,-0.0025024414,-0.062408447,-0.013320923,63.00049,-36.749268,-259.3506,9.543368652469885,0.06386331857556551,269.4110319922625
11:06:20:20,-0.028457642,0.5752106,9.859589,-0.022750854,-0.10076904,-0.05593872,62.400054999999995,-36.974334,-258.975225,9.876394702555258,0.11747825830973711,268.94119569095653
11:06:20:21,-0.25350952,0.4794464,10.252228,-0.060028076,-0.116744995,-0.08256531,61.79962,-37.1994,-258.59985,10.26656295413356,0.1550799606048696,268.47135938965056
11:06:20:22,-0.3804016,0.36453247,10.687973,-0.10902405,-0.116744995,-0.08576965,61.349995,-36.99951,-257.9498266666667,10.700951179577254,0.18130656413123886,267.7145541312208
11:06:20:23,-0.47857666,0.22805786,11.087799,-0.13034058,-0.118881226,-0.080444336,60.900369999999995,-36.79962,-257.29980333333333,11.100465425891183,0.19388837996249383,266.95774887279106
11:06:20:24,-0.35406494,0.15863037,11.583405,-0.17614746,-0.14230347,-0.052749634,60.450745,-36.59973,-256.64978,11.589900645391598,0.23250963232869828,266.2009436143613
11:06:20:25,-0.2798462,0.16819763,11.760574,-0.20170593,-0.18066406,-0.03996277,60.675049,-36.074828499999995,-256.949615,11.765105403177145,0.273718482676858,266.47007856864116
11:06:20:26,-0.16493225,0.12271118,12.122101,-0.21342468,-0.20835876,-0.035705566,60.899353,-35.549927,-257.24945,12.12384399994441,0.3003969945675562,266.73921352292103
11:06:20:27,-0.06916809,0.038909912,12.380676,-0.22195435,-0.2232666,-0.028244019,60.299683,-36.749268,-257.0999,12.38093035368918,0.3160845342131672,266.62130269062584
11:06:20:28,0.007446289,-0.023330688,12.5243225,-0.211296085,-0.221138,-0.021850585999999998,59.9998475,-35.924530000000004,-256.649775,12.524346444115505,0.30675303981789204,266.00800200779406
11:06:20:29,0.3570099,-0.30345154,12.691925,-0.20063782,-0.2190094,-0.015457153,59.700012,-35.099792,-256.19965,12.700570818331409,0.29742154542261695,265.3947013249622
11:06:20:30,0.7759857,-0.39204407,12.457291,-0.11968994,-0.19664001,-0.0048065186,60.825348000000005,-36.074829,-257.47452499999997,12.48759189828478,0.23025220496459062,267.01212257816223
11:06:20:31,1.0441437,-0.14782715,11.870712,-0.08239746,-0.21687317,-0.054870605,61.950684,-37.049866,-258.7494,11.917461655884225,0.23839902804618673,268.6295438313623
11:06:20:32,1.06209565,0.011383055000000003,11.4720765,-0.10423279,-0.245635985,-0.11559295750000001,60.900117,-37.124633,-258.674625,11.522378472678078,0.29403869789084836,268.3293666578071
11:06:20:33,1.0800476,0.17059326,11.073441,-0.12606812,-0.2743988,-0.17631531,59.84955,-37.1994,-258.59985,11.12729528947193,0.3496783677355099,268.0291894842519
11:06:20:34,1.017807,0.04849243,11.111755,-0.2379303,-0.2658844,-0.27644348,60.3744515,-36.00006,-258.30001500000003,11.1583772021312,0.45136054264408226,267.6969740861979
11:06:20:35,0.49586487,-0.47105408,11.786911,-0.36470032,-0.17852783,-0.37019348,60.899353,-34.80072,-258.00018,11.806737264693652,0.5494740413587541,267.36475868814387
11:06:20:36,0.27560425,-0.6482239,12.136459,-0.4648285,-0.019805908,-0.41812134,60.675049,-35.325622499999994,-258.00018,12.15688237114394,0.6255263890255551,267.3832073088447
