,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
13:04:07:00,-74.0,-74.0,-76.0,-76.0,-92.0,-92.0,-87.0,-54.0,-54.0,-54.0,-78.0,-77.0,-77.0,,-68.0,-68.0,-68.0,-45.0,-47.0,-87.0,-46.0,-87.0,-87.0,-74.0,-73.0,-73.0,,,,,,,,-89.0,-86.0,-87.0,,,,,,44.4349374999837,26.047903773512555
13:04:09:00,-80.0,-73.0,-70.0,-74.0,,,,-61.0,-60.0,-60.0,-82.0,-82.0,-82.0,,-63.0,-60.0,-61.0,-49.0,-52.0,-90.0,-54.0,-89.0,-88.0,-81.0,-81.0,-82.0,,,,,,,,,,,,,,,,44.434930005636986,26.047903773512555
13:04:10:00,-78.0,-71.0,-73.0,-73.0,-93.0,-93.0,-93.0,-64.0,-64.0,-64.0,-83.0,-84.0,-85.0,,-74.0,-74.0,-75.0,-52.0,-53.0,,-53.0,,-91.0,-80.0,-80.0,-79.0,,,,,,,,-93.0,-91.0,-92.0,,,,,,44.43492251129027,26.047903773512555
13:04:11:00,-83.0,-84.0,-84.0,-82.0,-92.0,-93.0,-93.0,-63.0,-62.0,-65.0,-78.0,-77.0,-76.0,,-77.0,-76.0,-77.0,-66.0,-66.0,,-62.0,,-93.0,-84.0,-87.0,-88.0,,,,,,,,-97.0,-95.0,-97.0,,,,,,44.43491251882797,26.047903773512555
13:04:12:00,-80.0,-80.0,-80.0,-80.0,-92.0,-91.0,-91.0,-62.0,-62.0,-62.0,-73.0,-74.0,-74.0,,-79.0,-79.0,-79.0,-59.0,-58.0,-89.0,-59.0,-90.0,-89.0,-78.0,-77.0,-77.0,,,,,,,,-95.0,-92.0,-94.0,,,,,,44.43490152711945,26.047903773512555
13:04:13:00,-89.0,-82.0,-82.0,-82.0,-94.0,-96.0,-96.0,-70.0,-70.0,-70.0,-75.0,-75.0,-75.0,,-79.0,-78.0,-77.0,-65.0,-66.0,-89.0,-66.0,-88.0,-88.0,-80.0,-80.0,-80.0,,,,,,,,-95.0,-96.0,-96.0,,,,,,44.43489253390339,26.047903773512555
13:04:14:00,-85.0,-76.0,-76.0,-74.0,-93.0,-94.0,-93.0,-67.0,-67.0,-67.0,-80.0,-81.0,-81.0,,-78.0,-78.0,-78.0,-65.0,-65.0,,-65.0,,-92.0,-82.0,-81.0,-82.0,,,,,,,,-95.0,,-94.0,,,,,,44.4348825414411,26.047903773512555
13:04:15:00,-90.0,,,,-96.0,-92.0,-95.0,-67.0,-68.0,-68.0,,,,,-83.0,-82.0,-84.0,-61.0,-60.0,,-61.0,,,-82.0,-82.0,-82.0,,,,,,,,-97.0,-96.0,,,,,,,44.43487454747103,26.04790797175165
13:04:16:00,-78.0,-76.0,-76.0,-76.0,-93.0,-93.0,-91.0,-68.0,-69.0,-69.0,-87.0,-86.0,-87.0,,-80.0,-79.0,-79.0,-64.0,-65.0,,-65.0,-92.0,-91.0,-82.0,,-82.0,,,,,,,,-95.0,-94.0,-94.0,,,,,,44.43487454747011,26.047924764708043
13:04:17:00,-83.0,-80.0,-80.0,-80.0,-92.0,-91.0,-91.0,-63.0,-63.0,-63.0,-89.0,-90.0,-90.0,,-79.0,-79.0,-79.0,-62.0,-62.0,,-63.0,,,,,,,,,,,,,,,,,,,,,44.43487454746944,26.047936977767232
